Sentiment,Clean_Text,label,sequence
positive,following the acquisition relacom will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services,2,"[321, 2, 170, 1, 12, 794, 16, 894, 4, 33, 1514, 488, 5, 221, 51, 19, 68, 5, 595, 273, 89, 725, 5, 352, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,for the first nine months of the company s net profit rose to eurm from eurm for the corresponding period of,2,"[9, 2, 53, 255, 176, 3, 2, 13, 10, 30, 31, 97, 6, 103, 14, 103, 9, 2, 81, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,helsinki afx retail and wholesale group kesko reported net sales of mln eur for february an increase of pct yearonyear,2,"[58, 460, 293, 5, 1382, 35, 555, 205, 30, 27, 3, 38, 8, 9, 245, 34, 94, 3, 101, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,however net sales in are seen to have grown to eur m from eur m in,2,"[187, 30, 27, 4, 39, 940, 6, 50, 2190, 6, 8, 36, 14, 8, 36, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,however sales returned to growth in apriljune ceo pekka eloholma said,2,"[187, 27, 1928, 6, 168, 4, 1189, 138, 2186, 1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,ragutis which is controlled by the finnish brewery reported a percent rise in beer sales to million litres and held an percent market share,2,"[1515, 49, 11, 1093, 20, 2, 24, 1693, 205, 7, 69, 756, 4, 523, 27, 6, 28, 1378, 5, 487, 34, 69, 51, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,svyturysutenos alus which is controlled by the nordic group baltic beverages holding bbh posted a percent growth in beer sales for januarymay to million litres,2,"[3305, 2177, 49, 11, 1093, 20, 2, 206, 35, 253, 2614, 512, 3306, 445, 7, 69, 168, 4, 523, 27, 9, 1, 6, 28, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,in contempus generated revenue of nok approx,1,"[4, 1, 590, 236, 3, 1094, 2615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in addition kone signed a twoyear maintenance contract for the escalators,2,"[4, 276, 626, 143, 7, 3307, 352, 64, 9, 2, 1694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in december alone the members of the lithuanian brewers association sold a total of million liters of beer an increase of percent from the sales of million liters in december,2,"[4, 375, 2191, 2, 463, 3, 2, 1363, 3260, 1077, 421, 7, 66, 3, 28, 640, 3, 523, 34, 94, 3, 69, 14, 2, 27, 3, 28, 640, 4, 375, 0, 0, 0, 0, 0]"
positive,in januaryseptember the group s net interest income increased to eur mn from eur mn in januaryseptember,2,"[4, 841, 2, 35, 10, 30, 562, 481, 88, 6, 8, 17, 14, 8, 17, 4, 841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in q of bank of land s net interest income increased from eur mn to eur mn,2,"[4, 511, 3, 74, 3, 685, 10, 30, 562, 481, 88, 14, 8, 17, 6, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in sweden operating profit for the period under review totaled eur mn up from the corresponding period in,2,"[4, 248, 37, 31, 9, 2, 43, 151, 1292, 231, 8, 17, 55, 14, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in the fourth quarter of orion s net profit went up by yearonyear to eurm,2,"[4, 2, 378, 45, 3, 1090, 10, 30, 31, 615, 55, 20, 333, 6, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in the second quarter of the group s net profit rose to eur million from eur million in apriljune,2,"[4, 2, 131, 45, 3, 2, 35, 10, 30, 31, 97, 6, 8, 28, 14, 8, 28, 4, 1189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in the second quarter of the group s net profit rose to eur m from eur m in apriljune,2,"[4, 2, 131, 45, 3, 2, 35, 10, 30, 31, 97, 6, 8, 36, 14, 8, 36, 4, 1189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in the third quarter net sales increased by yearonyear to eur million or by at comparable currency rates growth,2,"[4, 2, 149, 45, 30, 27, 88, 20, 333, 6, 8, 28, 100, 20, 25, 935, 1293, 927, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in the third quarter net sales increased by yearonyear to eur m or by at comparable currency rates growth,2,"[4, 2, 149, 45, 30, 27, 88, 20, 333, 6, 8, 36, 100, 20, 25, 935, 1293, 927, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,incap estimates it will generate a revenue of mln euro mln from its indian operations for,1,"[503, 613, 26, 12, 2192, 7, 236, 3, 38, 56, 38, 14, 16, 847, 63, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,its market share widened to percent from percent a year earlier,2,"[16, 51, 46, 1929, 6, 69, 14, 69, 7, 40, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,its total annual revenue comes up to about mln zloty mln mln euro,1,"[16, 66, 159, 236, 1190, 55, 6, 60, 38, 1, 38, 38, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,kesko agro eesti the retailer and wholesaler of grain agricultural and warehousing machinery and accessories had net sales of million euros in an increase by onetenth over the preceding year,2,"[555, 3308, 1359, 2, 1191, 5, 3309, 3, 1930, 1931, 5, 3310, 239, 5, 1187, 137, 30, 27, 3, 28, 175, 4, 34, 94, 20, 1, 121, 2, 1, 40, 0, 0, 0, 0, 0]"
positive,kesko s car import and retailing business vvauto saw sales grow by pct,2,"[555, 10, 1383, 2193, 5, 1, 42, 1, 1374, 27, 1181, 20, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,kone s net sales rose by some yearonyear in the first nine months of,2,"[626, 10, 30, 27, 97, 20, 110, 333, 4, 2, 53, 255, 176, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,adp news feb finnish management software solutions provider ixonos oyj hel xnsv said today its net profit rose to eur million usd m for from eur million for,2,"[446, 163, 848, 24, 119, 147, 84, 263, 1010, 44, 79, 1, 22, 62, 16, 30, 31, 97, 6, 8, 28, 120, 36, 9, 14, 8, 28, 9, 0, 0, 0, 0, 0, 0, 0]"
positive,adp news feb finnish it solutions provider affecto oyj hel afev said today its net profit rose to eur million usd m in from eur million in,2,"[446, 163, 848, 24, 26, 84, 263, 941, 44, 79, 2616, 22, 62, 16, 30, 31, 97, 6, 8, 28, 120, 36, 4, 14, 8, 28, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,adp news feb finnish fishing tackle company rapala vmc corp hel rapv said today its net profit rose to eur million usd m for from eur million for,2,"[446, 163, 848, 24, 1004, 1918, 13, 509, 1183, 267, 79, 3294, 22, 62, 16, 30, 31, 97, 6, 8, 28, 120, 36, 9, 14, 8, 28, 9, 0, 0, 0, 0, 0, 0, 0]"
positive,adp news nov finnish electronic measurement products and solutions maker vaisala oyj omx vaias said today that its net profit rose to eur million usd m for the first nine months of from eur,2,"[446, 163, 1192, 24, 579, 1095, 71, 5, 84, 140, 726, 44, 113, 2617, 22, 62, 29, 16, 30, 31, 97, 6, 8, 28, 120, 36, 9, 2, 53, 255, 176, 3, 14, 8, 0]"
positive,adp news oct finnish lifting equipment maker konecranes oyj omx kcrv said today that its net profit rose to eur million usd m in the first nine months of from eur million for the s,2,"[446, 163, 849, 24, 1512, 130, 140, 593, 44, 113, 2194, 22, 62, 29, 16, 30, 31, 97, 6, 8, 28, 120, 36, 4, 2, 53, 255, 176, 3, 14, 8, 28, 9, 2, 10]"
positive,metso expects its net sales to increase by about in at comparable exchange rates,2,"[381, 228, 16, 30, 27, 6, 94, 20, 60, 4, 25, 935, 156, 927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,mreal generated a turnover of eur bn in and has employees,1,"[390, 590, 7, 298, 3, 8, 395, 4, 5, 18, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,neste oil corp has signed longterm procurement contracts with honkajoki oy and findest protein oy both owned by finnish food manufacturers for the supply of animal fat for biodiesel production at neste s bcd porvoo finland refinery,2,"[459, 198, 267, 18, 143, 457, 1294, 466, 19, 1, 106, 5, 1, 1, 106, 161, 677, 20, 24, 275, 1011, 9, 2, 208, 3, 1932, 1933, 9, 1695, 70, 25, 459, 10, 1, 1]"
positive,net interest income increased by to eur mn from eur mn in,2,"[30, 562, 481, 88, 20, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,net interest income was eur mn up from eur mn in,2,"[30, 562, 481, 32, 8, 17, 55, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,net interest income was eur mn up from eur mn,2,"[30, 562, 481, 32, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,net sales of the vegetable oil business rose to eur mn from eur mn,2,"[30, 27, 3, 2, 2195, 198, 42, 97, 6, 8, 17, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,nokia multimedia s net sales totaled eur bn up from the corresponding period in,2,"[65, 2618, 10, 30, 27, 231, 8, 395, 55, 14, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating income rose to eur mn from eur mn in,2,"[37, 481, 97, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit of kauppalehti group rose to eur mn from eur mn and that of marketplaces to eur mn from eur mn in the third quarter of,2,"[37, 31, 3, 2619, 35, 97, 6, 8, 17, 14, 8, 17, 5, 29, 3, 3311, 6, 8, 17, 14, 8, 17, 4, 2, 149, 45, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose from eur mn to eur mn,2,"[37, 31, 97, 14, 8, 17, 6, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to mln eur from mln,2,"[37, 31, 97, 6, 38, 8, 14, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in the corresponding period in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur in the corresponding period in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in the corresponding period in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in the corresponding period in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in the corresponding period in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in the corresponding period in,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur m from eur m year earlier,2,"[37, 31, 97, 6, 8, 36, 14, 8, 36, 40, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit surged to eurm from eur,2,"[37, 31, 1362, 6, 103, 14, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit totaled eur mn up slightly from eur mn in the corresponding period in,2,"[37, 31, 231, 8, 17, 55, 717, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit totaled eur mn up from eur mn,2,"[37, 31, 231, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit was eur mn up from eur mn,2,"[37, 31, 32, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit was eur mn up from eur mn,2,"[37, 31, 32, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,order intake grew by yearonyear and yearonyear respectively to eur million and eur billion for the respective januaryseptember and julyseptember periods,2,"[105, 2620, 336, 20, 333, 5, 333, 528, 6, 8, 28, 5, 8, 169, 9, 2, 2196, 841, 5, 1696, 3312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,orders received grew by yearonyear to eurm,2,"[266, 469, 336, 20, 333, 6, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,orion pharma s operating profit increased by from,2,"[1090, 1, 10, 37, 31, 88, 20, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,passenger volumes rose by in the accounting period,2,"[840, 843, 97, 20, 4, 2, 1087, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,passengerrelated revenue rose by to eur mn from eur mn in,2,"[1, 236, 97, 20, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,press release october ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna finland,2,"[366, 207, 188, 260, 18, 143, 7, 64, 6, 447, 5, 1697, 2, 194, 624, 9, 7, 650, 121, 2, 3313, 2621, 4, 3314, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,pretax profit rose to eur mn from eur mn in the corresponding period in,2,"[271, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,pretax profit rose to eur mn from eur in the corresponding period in,2,"[271, 31, 97, 6, 8, 17, 14, 8, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,pretax profit rose to eur mn from eur mn in,2,"[271, 31, 97, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,pretax profit totaled eur mn up from eur mn,2,"[271, 31, 231, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,previously the company had guided for ebit and sales growth of pct and pct respectively for this year,2,"[330, 2, 13, 137, 1, 9, 1009, 5, 27, 168, 3, 101, 5, 101, 528, 9, 54, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,previously the company has estimated its operating profit to reach the level of only,2,"[330, 2, 13, 18, 215, 16, 37, 31, 6, 926, 2, 442, 3, 485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,profit for the period totaled eur mn up from eur mn in the corresponding period in,2,"[31, 9, 2, 43, 231, 8, 17, 55, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,profit for the period was eur mn up from eur mn,2,"[31, 9, 2, 43, 32, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,profit for the period was eur mn up from eur mn in,2,"[31, 9, 2, 43, 32, 8, 17, 55, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,revenue grew percent to xac billion us billion,2,"[236, 336, 69, 6, 646, 169, 99, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,revenue in july to september grew percent to euro million from a year earlier the company said thursday,2,"[236, 4, 361, 6, 171, 336, 69, 6, 56, 28, 14, 7, 40, 126, 2, 13, 22, 617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,revenues at the same time grew percent to million euros,2,"[755, 25, 2, 136, 233, 336, 69, 6, 28, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna finland,2,"[260, 18, 143, 7, 64, 6, 447, 5, 1697, 2, 194, 624, 9, 7, 650, 121, 2, 3313, 2621, 4, 3314, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,sales in latin america increased by to eur mn and a total of mn mobile devices were sold in the area representing an increase of from the corresponding period in,2,"[27, 4, 1291, 362, 88, 20, 6, 8, 17, 5, 7, 66, 3, 17, 68, 424, 77, 421, 4, 2, 162, 752, 34, 94, 3, 14, 2, 81, 43, 4, 0, 0, 0, 0, 0]"
positive,sales of clothing developed best,2,"[27, 3, 753, 268, 762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,sanoma magazines finland s net sales grew to eur mn from eur mn,2,"[437, 1915, 33, 10, 30, 27, 336, 6, 8, 17, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,satama s net profit for the third quarter of rose to euro from euro for the same period of,2,"[1193, 10, 30, 31, 9, 2, 149, 45, 3, 97, 6, 56, 14, 56, 9, 2, 136, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,section regional news the demand in finnair s asian traffic measured in passenger kilometers was up in august compare to last year,2,"[1194, 1517, 163, 2, 434, 4, 402, 10, 1096, 376, 2166, 4, 840, 3315, 32, 55, 4, 261, 3316, 6, 127, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,svyturysutenos alus which is controlled by the nordic group baltic beverages holding bbh posted a percent growth in beer sales for januaryseptember to million liters,2,"[3305, 2177, 49, 11, 1093, 20, 2, 206, 35, 253, 2614, 512, 3306, 445, 7, 69, 168, 4, 523, 27, 9, 841, 6, 28, 640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,that would be an increase from estimated sales of million last year,2,"[29, 111, 23, 34, 94, 14, 215, 27, 3, 28, 127, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the agreement expands tekla structures scope of use to bridge design,2,"[2, 91, 1518, 648, 624, 1519, 3, 184, 6, 650, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the aim is to increase sales by at least one fifth in,2,"[2, 510, 11, 6, 94, 27, 20, 25, 1097, 116, 2197, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the chain posted sales of million euros for full a rise of percent yearonyear,2,"[2, 359, 445, 27, 3, 28, 175, 9, 563, 7, 756, 3, 69, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the company expects its net sales in to increase from,2,"[2, 13, 228, 16, 30, 27, 4, 6, 94, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the company expects its net sales in the first half of to reach the previous year s level,2,"[2, 13, 228, 16, 30, 27, 4, 2, 53, 193, 3, 6, 926, 2, 439, 40, 10, 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the company is in the process of building a new fleet and has placed orders for pmax tankers of dwt,2,"[2, 13, 11, 4, 2, 265, 3, 117, 7, 41, 1169, 5, 18, 1698, 266, 9, 1, 1, 3, 2622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the company s operating income ebit totalled eur mn up from eur mn yearonyear,2,"[2, 13, 10, 37, 481, 1009, 216, 8, 17, 55, 14, 8, 17, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the eps outlook was increased by pct for and pct for,2,"[2, 246, 691, 32, 88, 20, 101, 9, 5, 101, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the fair value of the investment properties totaled eur mn up from eur mn in,2,"[2, 669, 104, 3, 2, 92, 647, 231, 8, 17, 55, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the finnish government announced wednesday that it sold a percent stake in chemicals and fertilizer group kemira oyj for xac million us million sending the company s share price up percent,2,"[2, 24, 564, 153, 484, 29, 26, 421, 7, 69, 192, 4, 1012, 5, 2623, 35, 400, 44, 9, 646, 28, 99, 28, 2624, 2, 13, 10, 46, 148, 55, 69, 0, 0, 0, 0]"
neutral,the firm generated sales of mln eur in,1,"[2, 382, 590, 27, 3, 38, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the german company has also signed a code share agreement with another oneworld member american airlines inc part of usbased amr corp nyse amr,2,"[2, 1295, 13, 18, 47, 143, 7, 1699, 46, 91, 19, 651, 3317, 850, 1013, 2625, 277, 118, 3, 2626, 3318, 267, 810, 3318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the helsinkibased company which also owns the salomon atomic and suunto brands said net profit rose percent in the three months through dec to xac million us million from xac million a year earlier,2,"[2, 2198, 13, 49, 47, 764, 2, 1700, 3319, 5, 1, 565, 22, 30, 31, 97, 69, 4, 2, 310, 176, 183, 842, 6, 646, 28, 99, 28, 14, 646, 28, 7, 40, 126, 0]"
positive,the increase in capital stock has been registered in the finnish trade register on november,2,"[2, 94, 4, 90, 109, 18, 57, 1098, 4, 2, 24, 340, 811, 15, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the operating profit for grain trading increased to eur mn from eur mn in,2,"[2, 37, 31, 9, 1930, 680, 88, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
